source;relationship;target
'Brummer Gallery, Paris and New York';'sells';'Pricket Candlestick'
'Brummer Gallery, Paris and New York';'sells';'Metropolitan Museum of Art'
'Pricket Candlestick';'comes_from';'European'
'Metropolitan Museum of Art';'has_possession_of';'Pricket Candlestick'
'Elie Nadelman';'has_possession_of';'Pendant'
'Elie Nadelman';'sells';'Pendant'
'Metropolitan Museum of Art';'has_possession_of';'Pendant'
'Pendant';'comes_from';'Elie Nadelman'
'Metropolitan Museum of Art';'has_possession_of';'Doorway | French  Museum of Art'
'The Cloisters Collection';'has_possession_of';'Doorway | French  Museum of Art'
'Doorway | French  Museum of Art';'comes_from';'the chapel of the Knights Templar, Beaune'
'Lancet Window';'comes_from';'a building in Beaumont-Le-Roger, France'
'Metropolitan Museum of Art';'has_possession_of';'Lancet Window'
'Relief: two servants bearing food and drink';'comes_from';'Achaemenid'
'E. Sassoon';'has_possession_of';'Relief: two servants bearing food and drink'
'Metropolitan Museum of Art';'purchases';'Relief: two servants bearing food and drink'
'Metropolitan Museum of Art';'buys_from';'E. Sassoon'
'Pablo Gargallo';'has_role';'Artist'
'Metropolitan Museum of Art';'has_possession_of';'A Cock'
'Metropolitan Museum of Art';'purchases';'A Cock'
'A Cock';'comes_from';'Pablo Gargallo'
'Michael Friedsam';'donates_to';'Metropolitan Museum of Art'
'Altarpiece with Scenes of the Infancy of Christ';'comes_from';'ancient chapes of the Convent of the Jacobins, Paris'
'Metropolitan Museum of Art';'has_possession_of';'Altarpiece with Scenes of the Infancy of Christ'
'Michael Friedsam';'has_possession_of';'Virgin and Child | French  Museum of Art'
'Virgin and Child | French  Museum of Art';'comes_from';'Michael Friedsam, New York'
'Metropolitan Museum of Art';'has_possession_of';'Crozier Head with Saint Michael Slaying the Dragon'
'Aimé Eugène Desmottes';'has_possession_of';'Crozier Head with Saint Michael Slaying the Dragon'
'Michael Friedsam';'has_possession_of';'Reliquary'
'Reliquary';'comes_from';'Michael Friedsam, New York'
'Metropolitan Museum of Art';'has_possession_of';'Chasse'
'Chasse';'comes_from';'Church of the Madeleine, Chateaudun'
'Michael Friedsam';'has_possession_of';'Aquamanile in the Form of a Lion'
'Aquamanile in the Form of a Lion';'comes_from';'a church in Liederstedt'
'Metropolitan Museum of Art';'has_possession_of';'Ewer with Pomegranate-shaped Thumb Rests'
'Metropolitan Museum of Art';'obtains_from';'Jacques Couëlle'
'Ewer with Pomegranate-shaped Thumb Rests';'comes_from';'11th–12th century'
'Michael Friedsam';'has_possession_of';'Portrait of a Man with a Pointed Collar'
'C. and E. (Ercole) Canessa';'has_possession_of';'Portrait of a Man with a Pointed Collar'
'C. and E. (Ercole) Canessa';'sells';'Portrait of a Man with a Pointed Collar'
'Portrait of a Man with a Pointed Collar';'comes_from';'Netherlandish'
'Michael Friedsam';'has_possession_of';'Portrait of a Man with a Gold Chain'
'Georges, comte de Montbrison';'has_possession_of';'Portrait of a Man with a Gold Chain'
'Portrait of a Man with a Gold Chain';'comes_from';'Georges, comte de Montbrison, château de Saint-Just, Loire'
'Michael Friedsam';'has_possession_of';'The Beheading of Saint John the Baptist'
'The Beheading of Saint John the Baptist';'comes_from';'château Mandoux, Orléans'
'The Beheading of Saint John the Baptist';'comes_from';'Spitzer, Paris'
'The Beheading of Saint John the Baptist';'comes_from';'Michael Friedsam'
'Michael Friedsam';'has_possession_of';'Portrait of a Man'
'Portrait of a Man';'comes_from';'Walter Gay, Paris'
'Portrait of a Man';'comes_from';'Michael Friedsam, New York'
'Michael Friedsam';'has_possession_of';'The Friedsam Collection'
'The Friedsam Collection';'donates_to';'Metropolitan Museum of Art'
'Portrait of a Widow';'comes_from';'comte de Montbrison, château de St. Roch, Auvergne'
'Michael Friedsam';'is_the_owner_of';'The Friedsam Collection'
'Metropolitan Museum of Art';'has_possession_of';"Jean d'Albon de Saint-André (1472–1549);Artist Attributed to Corneille de Lyon"
"Jean d'Albon de Saint-André (1472–1549);Artist Attributed to Corneille de Lyon";'comes_from';'comte G. de Montbrison, château de Saint-Roch'
'Harris Brisbane Dick Fund';'purchases';'Vera et Accurata Delineato Omnium Templorum et Coenobiorum'
'Metropolitan Museum of Art';'has_possession_of';'Vera et Accurata Delineato Omnium Templorum et Coenobiorum'
'Salomon Kleiner';'has_role';'Artist'
'Metropolitan Museum of Art';'has_possession_of';'Border Fragment'
'Guillermo Schmidt y Pizarro';'has_possession_of';'Border Fragment'
'Right hand of Buddha';'comes_from';'Northern Xiangtangshan caves, Hebei Province'
'Metropolitan Museum of Art';'has_possession_of';'Right hand of Buddha'
'Joseph Brummer';'sells';'Fragment of a rug or hanging'
'Joseph Brummer';'makes_sale_to';'Metropolitan Museum of Art'
'Fragment of a rug or hanging';'comes_from';'Joseph Brummer'
'Metropolitan Museum of Art';'has_possession_of';'Fragment of a rug or hanging'
'Metropolitan Museum of Art';'has_possession_of';'Bronze Herakles'
'Bronze Herakles';'comes_from';'Mantinea'
'Metropolitan Museum of Art';'obtains_from';'Fletcher Fund'
'C. T. Loo & Co.';'sells';'Figure | China | Northern Wei dynasty (386–534)'
'Metropolitan Museum of Art';'has_possession_of';'Figure | China | Northern Wei dynasty (386–534)'
'Figure | China | Northern Wei dynasty (386–534)';'comes_from';'China'
'C. T. Loo & Co.';'sells';'Figure of a Servant'
'Figure of a Servant';'comes_from';'China'
'Metropolitan Museum of Art';'has_possession_of';'Figure of a Servant'
'Joseph Brummer';'donates_to';'Metropolitan Museum of Art'
'Fragment | Byzantine  Museum of Art';'comes_from';'Joseph Brummer'
'Metropolitan Museum of Art';'has_possession_of';'Fragment | Byzantine  Museum of Art'
'C. T. Loo & Co.';'has_possession_of';'Shiva as Mahesha'
'C. T. Loo & Co.';'sells';'Shiva as Mahesha'
'Shiva as Mahesha';'comes_from';'India (Tamil Nadu)'
'Metropolitan Museum of Art';'has_possession_of';'Shiva as Mahesha'
'Philip J. and Alice E. Mosenthal';'donates_to';'Metropolitan Museum of Art'
'Metropolitan Museum of Art';'has_possession_of';'Forgery figure'
'Forgery figure';'comes_from';'ca. 1908'
'C. T. Loo & Co.';'sells';'Ceremonial dagger-ax? | China | Zhou dynasty (ca. 500 B.C.)'
'Ceremonial dagger-ax? | China | Zhou dynasty (ca. 500 B.C.)';'comes_from';'China'
'Metropolitan Museum of Art';'has_possession_of';'Ceremonial dagger-ax? | China | Zhou dynasty (ca. 500 B.C.)'
'C. T. Loo & Co.';'sells';'Tuning key'
'Tuning key';'comes_from';'Eastern Zhou dynasty, Warring States period'
'Metropolitan Museum of Art';'has_possession_of';'Tuning key'
'C. T. Loo';'sells';'Ornament plaque'
'C. T. Loo';'sells';'Metropolitan Museum of Art'
'Metropolitan Museum of Art';'has_possession_of';'Ornament plaque'
'Ornament plaque';'comes_from';'China'
'C. T. Loo';'sells';'Belt hook in the shape of a monkey'
'Metropolitan Museum of Art';'has_possession_of';'Belt hook in the shape of a monkey'
'Belt hook in the shape of a monkey';'comes_from';'China'
'C. T. Loo & Co.';'sells';'Ceremonial dagger-ax (Ge)'
'Metropolitan Museum of Art';'has_possession_of';'Ceremonial dagger-ax (Ge)'
'Ceremonial dagger-ax (Ge)';'comes_from';'China'
'C. T. Loo & Co.';'sells';'Pendant plaque'
'Pendant plaque';'comes_from';'China'
'Metropolitan Museum of Art';'has_possession_of';'Pendant plaque'
'C. T. Loo & Co.';'sells';'Standing deer'
'Standing deer';'comes_from';'China'
'Metropolitan Museum of Art';'has_possession_of';'Standing deer'
'C. T. Loo & Co.';'sells';'Plaque in the Shape of an Animal Head'
'Plaque in the Shape of an Animal Head';'comes_from';'China'
'Metropolitan Museum of Art';'has_possession_of';'Plaque in the Shape of an Animal Head'
'C. T. Loo & Co.';'sells';'Pendant in the shape of a dragon'
'Metropolitan Museum of Art';'has_possession_of';'Pendant in the shape of a dragon'
'Pendant in the shape of a dragon';'comes_from';'China'
'C. T. Loo & Co.';'sells';'Plaque in the shape of a fish'
'Plaque in the shape of a fish';'comes_from';'China'
'Metropolitan Museum of Art';'has_possession_of';'Plaque in the shape of a fish'
'C. T. Loo & Co.';'sells';'Ornament'
'Ornament';'comes_from';'China'
'C. T. Loo & Co.';'sells';'Plaque with decoration'
'Plaque with decoration';'comes_from';'China'
'Metropolitan Museum of Art';'has_possession_of';'Plaque with decoration'
'C. T. Loo & Co.';'sells';'Handle-shaped object'
'Handle-shaped object';'comes_from';'China'
'Metropolitan Museum of Art';'has_possession_of';'Handle-shaped object'
'C. T. Loo & Co.';'sells';'Plaque'
'Metropolitan Museum of Art';'has_possession_of';'Plaque'
'Plaque';'comes_from';'China'
'C. T. Loo & Co.';'sells';'Pendant'
'Pendant';'comes_from';'China'
'C. T. Loo & Co.';'sells';'Plaque in the shape of an animal head'
'Metropolitan Museum of Art';'has_possession_of';'Plaque in the shape of an animal head'
'Plaque in the shape of an animal head';'comes_from';'China'
'C. T. Loo & Co.';'sells';'Ceremonial dagger-ax'
'Metropolitan Museum of Art';'has_possession_of';'Ceremonial dagger-ax'
'Ceremonial dagger-ax';'comes_from';'Shang dynasty'
'C. T. Loo & Co.';'sells';'Decorative belt plaque'
'Metropolitan Museum of Art';'has_possession_of';'Decorative belt plaque'
'Decorative belt plaque';'comes_from';'China'
'C. T. Loo & Co.';'sells';'Ornament | China | Tang dynasty (618–907) (?)'
'Ornament | China | Tang dynasty (618–907) (?)';'comes_from';'China'
'Metropolitan Museum of Art';'has_possession_of';'Ornament | China | Tang dynasty (618–907) (?)'
'C. T. Loo && Co.';'sells';'Seated Female Musicians'
'C. T. Loo && Co.';'makes_sale_to';'Metropolitan Museum of Art'
'Seated Female Musicians';'comes_from';'China'
'C. T. Loo & Co.';'sells';'Female attendant | China | Sui dynasty (581–618)'
'C. T. Loo & Co.';'makes_sale_to';'Metropolitan Museum of Art (MMA)'
'Female attendant | China | Sui dynasty (581–618)';'comes_from';'China'
'Metropolitan Museum of Art (MMA)';'has_possession_of';'Female attendant | China | Sui dynasty (581–618)'
'Reconstructed Portal';'comes_from';'main portal of the church of San Vicente Martir, Frias, Spain'
'Metropolitan Museum of Art';'has_possession_of';'Reconstructed Portal'
'C. T. Loo & Co.';'sells';'Deep Dish'
'Metropolitan Museum of Art';'has_possession_of';'Deep Dish'
'Deep Dish';'comes_from';'China'
'C. T. Loo & Co.';'sells';'Jar | China | Tang dynasty (618–907)'
'Jar | China | Tang dynasty (618–907)';'comes_from';'China'
'Metropolitan Museum of Art';'has_possession_of';'Jar | China | Tang dynasty (618–907)'
'E. Hindamian';'sells';'Brocade'
'E. Hindamian';'sells';'Brummer'
'Brummer';'sells';'Brocade'
'Brummer';'sells';'Metropolitan Museum of Art'
'Metropolitan Museum of Art';'has_possession_of';'Brocade'
'Brocade';'comes_from';'16th century'
'C. T. Loo & Co.';'sells';'Bowl | China | Song dynasty (960–1279)'
'Bowl | China | Song dynasty (960–1279)';'comes_from';'China'
'Metropolitan Museum of Art';'has_possession_of';'Bowl | China | Song dynasty (960–1279)'
'C. T. Loo & Co.';'sells';'Pair of Earrings'
'Pair of Earrings';'comes_from';'China'
'Terracotta statuette of a seated woman';'comes_from';'neighborhood of Corinth, Greece'
'Metropolitan Museum of Art';'has_possession_of';'Terracotta statuette of a seated woman'
'Rogers Fund';'purchases';'Terracotta statuette of a seated woman'
"Sculptor's Trial Piece showing the lower part of a male figure";'comes_from';'ca. 1353–1336 B.C.'
"Sculptor's Trial Piece showing the lower part of a male figure";'comes_from';'Excavated at Amarna by Petrie and Carter 1891-92'
'Metropolitan Museum of Art';'has_possession_of';"Sculptor's Trial Piece showing the lower part of a male figure"
'Metropolitan Museum of Art';'obtains_from';'Rogers Fund, 1922'
"Sculptor's Trial Piece showing the lower part of a seated figure";'comes_from';'ca. 1353–1336 B.C.'
'Metropolitan Museum of Art';'has_possession_of';"Sculptor's Trial Piece showing the lower part of a seated figure"
'Metropolitan Museum of Art';'obtains_from';'Excavated at Amarna by Petrie and Carter 1891-92'
'Metropolitan Museum of Art';'obtains_from';'Rogers Fund, 1922'
"Sculptor's Trial Piece showing a Face of the king";'comes_from';'Amarna'
"Sculptor's Trial Piece showing a Face of the king";'has_possession_of';'Metropolitan Museum of Art'
'Metropolitan Museum of Art';'obtains_from';'Petrie and Carter'
"Sculptor's Trial Piece showing a Princess";'comes_from';'Amarna'
"Sculptor's Trial Piece showing a Princess";'has_possession_of';'Metropolitan Museum of Art'
"Sculptor's Trial Piece showing Upper Part of a Male Figure";'comes_from';'Amarna'
'Metropolitan Museum of Art';'has_possession_of';"Sculptor's Trial Piece showing Upper Part of a Male Figure"
'Metropolitan Museum of Art';'obtains_from';'Petrie and Carter'
'Metropolitan Museum of Art';'obtains_from';'Rogers Fund'
"Sculptor's Trial Piece showing an old man and a youth";'comes_from';'ca. 1352–1336 B.C.'
"Sculptor's Trial Piece showing an old man and a youth";'has_possession_of';'Metropolitan Museum of Art'
'Metropolitan Museum of Art';'obtains_from';'Excavated at Amarna by Petrie and Carter 1891-1892'
'Metropolitan Museum of Art';'purchases';"Sculptor's Trial Piece showing an old man and a youth"
'Metropolitan Museum of Art';'has_role';'Rogers Fund'
"Sculptor's Trial Piece showing the lower part of a male figure";'comes_from';'Excavated at Amarna by Petrie and Carter 1891-92'
'Metropolitan Museum of Art';'has_possession_of';"Sculptor's Trial Piece showing the lower part of a male figure"
'Joseph Brummer';'has_possession_of';'Terracotta female figure'
'Terracotta female figure';'comes_from';'Helladic, Mycenaean'
'C. T. Loo & Co.';'has_possession_of';'Mirror with birds and lions'
'C. T. Loo & Co.';'sells';'Mirror with birds and lions'
'C. T. Loo & Co.';'makes_sale_to';'Metropolitan Museum of Art (MMA)'
'Mirror with birds and lions';'comes_from';'China'
'Metropolitan Museum of Art (MMA)';'has_possession_of';'Mirror with birds and lions'
'C. T. Loo & Co.';'has_possession_of';'Stem cup'
'C. T. Loo & Co.';'sells';'Stem cup'
'Metropolitan Museum of Art';'purchases';'Stem cup'
'Stem cup';'comes_from';'Ming dynasty'
'C. T. Loo';'sells';'Seated bodhisattva in pensive pose'
'Seated bodhisattva in pensive pose';'comes_from';'China'
'Metropolitan Museum of Art';'has_possession_of';'Seated bodhisattva in pensive pose'
'C. T. Loo & Co., Paris';'sells';'Cup | China | late Yuan (1271–1368)–early Ming'
'C. T. Loo & Co., Paris';'makes_sale_to';'Metropolitan Museum of Art'
'Metropolitan Museum of Art';'has_possession_of';'Cup | China | late Yuan (1271–1368)–early Ming'
'Cup | China | late Yuan (1271–1368)–early Ming';'comes_from';'China'
'C. T. Loo & Co.';'is_the_owner_of';'C. T. Loo'
'C. T. Loo & Co.';'sells';'Cup | China | Song (960–1279) or Yuan (1271–1368)'
'Metropolitan Museum of Art';'purchases';'Cup | China | Song (960–1279) or Yuan (1271–1368)'
'Cup | China | Song (960–1279) or Yuan (1271–1368)';'comes_from';'China'
'C. T. Loo & Co.';'sells';'Cup Stand'
'Cup Stand';'comes_from';'China'
'Metropolitan Museum of Art';'has_possession_of';'Cup Stand'
'C. T. Loo';'sells';'Standing bodhisattva'
'C. T. Loo';'works_with';'C. T. Loo & Co.'
'C. T. Loo & Co.';'sells';'Standing bodhisattva'
'Metropolitan Museum of Art';'has_possession_of';'Standing bodhisattva'
'Standing bodhisattva';'comes_from';'China'
'Claude Anet';'has_possession_of';'Openwork pendant'
'Claude Anet';'sells';'Openwork pendant'
'Claude Anet';'makes_sale_to';'Brummer'
'Brummer';'has_possession_of';'Openwork pendant'
'Brummer';'sells';'Openwork pendant'
'Metropolitan Museum of Art';'has_possession_of';'Openwork pendant'
'Openwork pendant';'comes_from';'ca. A.D. 1st–2nd century'
'Metropolitan Museum of Art';'has_possession_of';'Belt clasp'
'Metropolitan Museum of Art';'obtains_from';'Claude Anet'
'Claude Anet';'has_possession_of';'Belt clasp'
'Seated Immortal';'comes_from';'China'
'C. T. Loo';'has_possession_of';'Seated Immortal'
'Horse and rider';'comes_from';'Eastern Han dynasty'
'Metropolitan Museum of Art';'has_possession_of';'Horse and rider'
'C. T. Loo';'has_possession_of';'Horse and rider'
'Lai-Yuan & Company';'works_with';'C. T. Loo'
'Lai-Yuan & Company';'donates_to';'Metropolitan Museum of Art'
'C. T. Loo';'works_for';'Lai-Yuan & Company'
'Metropolitan Museum of Art';'has_possession_of';'Pot with two handles'
'Pot with two handles';'comes_from';'China'
'Joseph Brummer';'has_possession_of';'Sculptural Element from a Reliquary Ensemble: Head'
'Robert J. Curtis';'has_possession_of';'Sculptural Element from a Reliquary Ensemble: Head'
'Curtis Galleries, Inc.';'has_possession_of';'Sculptural Element from a Reliquary Ensemble: Head'
'Curtis Galleries, Inc.';'donates_to';'Metropolitan Museum of Art'
'Sculptural Element from a Reliquary Ensemble: Head';'comes_from';'Fang peoples, Betsi group'
'Joseph Brummer';'sells';'Maiden Mask'
'Joseph Brummer';'makes_sale_to';'John Quinn'
'The University of Pennsylvania Museum';'has_possession_of';'Maiden Mask'
'Metropolitan Museum of Art';'has_possession_of';'Maiden Mask'
'Igbo peoples';'comes_from';'Maiden Mask'
"Face Mask (Kpelie'e)";'comes_from';'Senufo peoples'
